NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
White-PK Colourants,,pieces,Colourants,,PK ,,1,1,,,VAT,inclusive,SINGLE,,,2064.8,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Black-PB Colourants,,pieces,Colourants,,PB ,,1,1,,,VAT,inclusive,SINGLE,,,1113.6,,,0,5,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Medium Yellow-PQ Colourants,,pieces,Colourants,,PQ ,,1,1,,,VAT,inclusive,SINGLE,,,6322,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Permanent red-PH Colourants,,pieces,Colourants,,PH,,1,1,,,VAT,inclusive,SINGLE,,,4060,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Phthalo green-PD Colourants,,pieces,Colourants,,PD ,,1,1,,,VAT,inclusive,SINGLE,,,1322.4,,,0,3,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Phthalo blue-PE Colourants,,pieces,Colourants,,PE ,,1,1,,,VAT,inclusive,SINGLE,,,1102,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Bright red-PU Colourants,,pieces,Colourants,,PU ,,1,1,,,VAT,inclusive,SINGLE,,,4002,,,0,3,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Raw amber-PL Colourants,,pieces,Colourants,,PL ,,1,1,,,VAT,inclusive,SINGLE,,,1078.8,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Bright yellow-PP Colourants,,pieces,Colourants,,PP ,,1,1,,,VAT,inclusive,SINGLE,,,3526.4,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Yellow oxide-PC Colourants,,pieces,Colourants,,PC ,,1,1,,,VAT,inclusive,SINGLE,,,1635.6,,,0,1,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Red oxide-PF Colourants,,pieces,Colourants,,PF ,,1,1,,,VAT,inclusive,SINGLE,,,1670.4,,,0,2,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Violet-PJ Colourants,,pieces,Colourants,,PJ ,,1,1,,,VAT,inclusive,SINGLE,,,2030,,,0,2,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
Margenta-PI Colourants,,pieces,Colourants,,PI ,,1,1,,,VAT,inclusive,SINGLE,,,2575.2,,,0,2,Mk alpha paints,,,,,,,,,,,,,1,Mk alpha paints
